vesselID,species,datasource,quart,cf,month,year,tarcatch4,set_date,hooks1000,set_id,catch_cnt,company
17,Blue,Logbook,Q1,-0.55318977,6,2016,12,2016-06-13T00:00:00Z,2.3,6AA84046-50EA-11FF-C12C-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,11,2016-06-15T00:00:00Z,2.3,94FB33A0-9DF1-5BD1-2D46-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,9,2016-06-14T00:00:00Z,2.3,5B9D5501-12C2-50F5-30C9-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,13,2016-09-03T00:00:00Z,2.3,70EE587F-C41F-95AD-C241-39DA5C06D114,1,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,24,2016-05-19T00:00:00Z,2.3,A7BB7C5A-9116-62D0-371E-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,17,2016-05-21T00:00:00Z,2.3,D4A483CE-A21E-99F5-1B83-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,26,2016-05-17T00:00:00Z,2.3,C69B39A6-59D9-8614-AA6D-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,31,2016-05-20T00:00:00Z,2.3,C1B765F1-60B8-E47A-BCA6-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,22,2016-05-18T00:00:00Z,2.3,EE3A131F-9BA1-4A5B-30A0-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,7,2016-06-17T00:00:00Z,2.3,3C0DC955-B91A-0E29-2CBD-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,15,2016-06-16T00:00:00Z,2.3,7CEFA61F-EF68-A887-1199-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,68,2016-07-04T00:00:00Z,2.3,57E3385E-F525-B2AD-726E-39D8F9BBD9C1,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,98,2016-07-03T00:00:00Z,2.3,8A7C3C7A-2615-997F-997C-39D8F9BBD9C1,3,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,50,2016-06-30T00:00:00Z,2.3,569D2F5C-F0A2-B013-C50C-39D8F9BBD9C1,1,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,49,2016-07-01T00:00:00Z,2.3,933F25F3-47EB-B26F-97D7-39D8F9BBD9C1,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,37,2016-07-02T00:00:00Z,2.3,2B95A54D-39AA-B897-50F0-39D8F9BBD9C1,1,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,37,2016-09-12T00:00:00Z,2.3,77AB02B0-A052-2647-87FF-39DA5C0BFADC,1,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,63,2016-07-05T00:00:00Z,2.3,AF5764B0-E6D4-AFDA-0096-39D8F9BBD9C1,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,55,2016-09-11T00:00:00Z,2.3,6CCEF8F8-001F-2025-B3D6-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2016,15,2016-10-09T00:00:00Z,2.3,D6ADE962-7F9B-4741-841E-39DAF78EA375,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,39,2016-09-05T00:00:00Z,2.3,9F20D8CE-6159-5CFA-4233-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,68,2016-07-07T00:00:00Z,2.3,50FA6979-3104-9E1A-99B5-39D8F9C0059E,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,34,2016-07-06T00:00:00Z,2.3,3B2B42C4-EC62-2857-BF60-39D8F9BBD9C1,1,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,17,2018-06-22T00:00:00Z,2.4,2CF3B0B8-3C4E-4996-B1B5-2DD06B5B625A,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,7,2018-06-23T00:00:00Z,2.4,F670BA5E-B02C-4112-AB1E-8F4A2386EC53,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,59,2016-09-04T00:00:00Z,2.3,BEEF455D-A72D-ACCF-2E17-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,8,2017,26,2017-08-02T00:00:00Z,2.4,9A39940B-D1D6-1985-7D81-39E118CCD966,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,38,2016-07-08T00:00:00Z,2.3,F743F97E-FB17-7FA8-50DA-39D8F9C0059E,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,27,2016-09-07T00:00:00Z,2.3,2140C56E-7325-B1FF-F258-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2016,42,2016-07-09T00:00:00Z,2.3,591DAF6A-E4D2-30A5-446D-39D8F9C0059E,1,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,1,2016-05-29T00:00:00Z,2.3,AD4110CC-2EC7-9E39-2B17-39D87D66C2A3,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,32,2016-09-06T00:00:00Z,2.3,30849DE3-5C51-9F5F-9436-39DA5C06D114,1,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,39,2016-09-09T00:00:00Z,2.3,F6118C50-B9B0-9D32-158F-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,10,2016-06-18T00:00:00Z,2.3,C0CFBBCE-85EA-ACBB-CF1D-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,12,2016-09-10T00:00:00Z,2.3,6A0079B1-4692-F4EA-2127-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,22,2016-09-08T00:00:00Z,2.3,82792554-4186-450D-7247-39DA5C06D114,2,A
